EST,DTO,MUN,SECC,01/10/2007,01/11/2007,01/12/2007,01/01/2008,01/02/2008,01/03/2008,01/04/2008,01/05/2008,01/06/2008,01/07/2008,01/08/2008,01/09/2008,01/10/2008,01/11/2008,01/12/2008,01/01/2009,01/02/2009,01/03/2009,01/04/2009,01/05/2009,01/06/2009,01/07/2009,01/08/2009,01/09/2009,01/10/2009,01/11/2009,01/12/2009,01/01/2010,01/02/2010,01/03/2010,01/04/2010,01/05/2010,01/06/2010,01/07/2010,01/08/2010,01/09/2010,01/10/2010,01/11/2010,01/12/2010,01/01/2011,01/02/2011,01/03/2011,01/04/2011,01/05/2011,01/06/2011,01/07/2011,01/08/2011,01/09/2011,01/10/2011,01/11/2011,01/12/2011,01/01/2012,01/02/2012,01/03/2012,01/04/2012,01/05/2012,01/06/2012,01/07/2012,01/08/2012,01/09/2012,01/10/2012,01/11/2012,01/12/2012,01/01/2013,01/02/2013,01/03/2013,01/04/2013,01/05/2013,01/06/2013,01/07/2013,01/08/2013,01/09/2013,01/10/2013,01/11/2013,01/12/2013,01/01/2014,01/02/2014,01/03/2014,01/04/2014,01/05/2014,01/06/2014,01/07/2014,01/08/2014,01/09/2014,01/10/2014,01/11/2014,01/12/2014,01/01/2015,01/02/2015,01/03/2015,01/04/2015,01/05/2015,01/06/2015,01/07/2015,01/08/2015,01/09/2015,01/10/2015,01/11/2015,01/12/2015,01/01/2016,01/02/2016,01/03/2016,01/04/2016,01/05/2016,01/06/2016,01/07/2016,01/08/2016,01/09/2016,01/10/2016,01/11/2016,01/12/2016,01/01/2017,01/02/2017,01/03/2017,01/04/2017,01/05/2017,01/06/2017,01/07/2017,01/08/2017,01/09/2017,01/10/2017,01/11/2017,01/12/2017,01/01/2018,01/02/2018,01/03/2018,01/04/2018,01/05/2018,01/06/2018,01/07/2018,01/08/2018,01/09/2018,01/10/2018,01/11/2018,01/12/2018,01/01/2019,01/02/2019,01/03/2019,01/04/2019,01/05/2019,01/06/2019,01/07/2019,01/08/2019,01/09/2019,01/10/2019,01/11/2019,01/12/2019
1,2,1,318,3622,3736,3804,3890,4002,4123,4234,4357,4465,4606,4740,4876,4483,4721,5160,5371,5636,5837,5846,5846,5846,5804,5892,6021,6139,6255,6339,6238,6293,6747,6742,6736,6730,6666,6869,6978,7087,7168,7420,7359,7454,7588,7862,8010,8152,8272,8382,8541,8665,8513,8668,8965,9215,9504,9599,9612,9612,9518,9708,9881,10019,10188,10292,10313,10500,10672,10813,10799,10806,10714,10947,11078,11195,11339,11365,11454,11454,11637,11939,12145,12252,12416,12565,12710,12369,12514,12993,13182,13337,13524,13516,13516,13414,13538,13733,13877,13993,14128,14128,14332,14509,14497,14478,14474,14102,14319,14507,14637,14809,14970,15110,15225,15402,15671,15671,15798,15864,15994,16070,16219,16388,16435,16544,16525,16833,16891,16889,16889,16889,16928,16982,17097,17230,17314,17356,17465,17518,17500,17484,17471,17098,17383,17567,17718,17829,17830,17860
1,3,1,325,3620,3690,3823,3906,4035,4145,4257,4369,4467,4615,4713,4836,4898,4755,4857,5238,5528,5703,5714,5714,5714,5688,5781,5883,5965,6052,6111,6189,6211,6474,6477,6476,6470,6423,6588,6719,6837,6940,7074,6952,7101,7310,7499,7666,7787,7900,7990,8145,8257,8400,8424,8512,8757,9060,9186,9185,9185,9097,9190,9352,9486,9613,9728,9772,9958,10176,10249,10239,10244,10197,10403,10521,10660,10808,10790,10815,10815,11054,11378,11591,11726,11850,11951,12102,12238,12179,12481,12716,12899,13100,13098,13098,13038,13154,13453,13648,13779,13974,13974,14238,14405,14399,14377,14364,14052,14292,14512,14706,14925,15100,15210,15331,15479,15822,15822,15982,16131,16252,16383,16616,16815,16936,17068,17110,17539,17627,17637,17641,17641,17683,17821,18035,18270,18422,18527,18714,18825,18814,18785,18764,18588,19051,19290,19528,19732,19757,19869
2,3,1,126,8473,8541,8619,8718,8792,8875,8970,9111,9205,9327,9445,9517,9581,9657,9615,9870,9924,10083,10109,10109,10109,10034,10020,10110,10148,10219,10307,10405,10491,10570,10549,10539,10527,10350,10491,10612,10680,10794,10835,10552,10613,10685,10842,10982,11090,11208,11341,11539,11620,11714,11781,11864,11930,12023,12170,12169,12169,12109,12078,12147,12200,12410,12460,12443,12547,12664,12741,12731,12726,12393,12685,12826,12911,12942,12916,12506,12506,12642,12821,12959,13061,13228,13327,13408,13508,13578,13743,13815,13895,14016,14010,14010,13756,13741,13933,13995,14225,14340,14340,14468,14584,14574,14547,14527,13055,13494,13705,13863,14024,14100,14234,14329,14423,14632,14632,14723,14829,14925,15000,15082,15277,15382,15466,15483,15624,15703,15704,15706,15706,15671,15806,15904,16078,16111,16191,16240,16338,16327,16307,16288,15680,16035,16236,16338,16457,16451,16442
2,4,4,1152,10560,10643,10735,10757,10799,10856,10896,10918,10966,11047,11140,11157,11182,11217,11123,11339,11435,11601,11588,11588,11588,11460,11475,11510,11539,11613,11667,11703,11754,11799,11754,11728,11713,11478,11554,11572,11698,11755,11804,11423,11441,11455,11682,11835,11923,11973,12071,12132,12169,12226,12302,12332,12342,12432,12535,12506,12505,12408,12533,12601,12693,12771,12854,12825,12937,13064,13195,13180,13167,12791,13108,13193,13235,13276,13243,12124,12124,12168,12370,12466,12582,12650,12712,12806,12916,12979,13148,13246,13214,13469,13468,13468,13358,13405,13657,13736,13850,13974,13974,14154,14262,14245,14221,14197,13072,13469,13630,13796,13939,14100,14235,14278,14382,14637,14637,14806,14879,14999,15090,15186,15398,15485,15559,15529,15764,15846,15843,15848,15848,15845,16008,16117,16299,16389,16478,16550,16619,16590,16560,16541,16079,16410,16598,16724,16812,16809,16912
2,4,4,1293,657,667,678,682,689,715,716,727,747,753,756,756,756,761,766,789,806,815,816,816,816,810,808,836,848,870,875,902,1011,1025,1022,1022,1022,1027,1157,1281,1402,1536,1690,1615,1745,1946,2203,2399,2632,2801,3051,3312,3504,3673,3873,4056,4313,4522,4608,4610,4610,4589,4767,5067,5339,5577,5732,5887,6148,6525,6682,6669,6666,6649,7244,7601,7874,8156,8324,8474,8474,8725,9194,9482,9773,10091,10390,10659,10933,11212,11515,11773,12173,12304,12300,12300,12259,12506,13003,13249,13586,13880,13880,14181,14265,14241,14220,14196,14081,14709,14993,15262,15505,15821,16033,16190,16380,16862,16862,17153,17390,17667,17826,17962,18249,18438,18589,18739,19103,19181,19192,19192,19192,19223,19526,19759,20067,20296,20476,20661,20694,20662,20602,20563,20512,21250,21552,21822,22070,22059,22213
2,4,4,1421,171,171,171,171,169,168,169,171,170,171,171,185,210,264,276,410,548,569,570,570,570,562,634,804,991,1198,1372,1491,1595,1609,1608,1605,1604,1607,1767,1980,2140,2316,2511,2457,2634,2874,3165,3429,3700,3904,4141,4409,4612,4801,4987,5199,5454,5644,5727,5729,5729,5678,5814,6003,6206,6385,6501,6613,6777,6953,7049,7040,7025,6974,7287,7457,7564,7738,7832,7963,7963,8107,8367,8533,8682,8800,8965,9138,9300,9476,9635,9811,9944,10085,10088,10088,9997,10128,10460,10642,10832,11052,11052,11260,11317,11309,11294,11283,11266,11647,11864,12077,12283,12459,12632,12728,12905,13400,13400,13655,13967,14363,14544,14718,15027,15160,15282,15487,15872,15928,15935,15937,15937,15991,16241,16698,17020,17297,17506,17733,17774,17723,17687,17656,17661,18386,18764,19036,19298,19343,19533
2,7,1,13,5765,5873,5923,6227,6285,6532,6775,6959,7104,7306,7482,7581,7698,7844,7943,8187,8278,8492,8538,8538,8538,8481,8531,8600,8644,8814,8886,8975,9076,9189,9226,9218,9207,9072,9175,9281,9377,9410,9524,9333,9486,9523,9887,10002,10172,10329,10453,10663,10726,10832,10989,11042,11106,11205,11314,11317,11317,11273,11269,11300,11426,11621,11656,11712,11883,12002,12183,12171,12167,11919,12191,12361,12487,12553,12561,12315,12315,12445,12585,12701,12819,12944,13003,13134,13225,13315,13443,13518,13621,13768,13768,13768,13544,13510,13742,13829,14029,14169,14169,14248,14386,14358,14346,14323,13411,13822,13996,14158,14296,14424,14532,14575,14714,14886,14886,14999,15129,15196,15314,15349,15497,15538,15603,15529,15678,15760,15767,15771,15771,15731,15793,15931,16007,16076,16160,16113,16265,16254,16233,16214,15462,15776,15936,16050,16142,16131,16143
8,6,19,895,2225,2324,2385,2446,2521,2630,2718,2815,2883,3002,3110,3189,3287,3417,3510,3666,3797,3893,3943,3943,3943,3927,3986,4070,4142,4215,4282,4298,4382,4541,4538,4537,4533,4490,4565,4677,4751,4841,4933,4776,4838,4902,4992,5127,5271,5391,5530,5635,5731,5837,5954,6006,6089,6222,6279,6274,6274,6221,6356,6438,6546,6701,6773,6790,6982,7162,7207,7198,7208,7125,7458,7615,7734,7883,7925,7958,7958,8196,8453,8672,8823,9010,9232,9411,9572,9754,9984,10231,10450,10545,10546,10546,10543,10652,11038,11266,11468,11628,11628,11870,11962,11963,11959,11957,11748,12187,12418,12651,12885,13109,13278,13425,13614,14033,14033,14246,14411,14626,14753,14989,15178,15358,15466,15598,15916,15987,15990,15992,15992,16068,16298,16530,16759,16939,17051,16706,17076,17395,17656,17952,18199,18474,18723,18967,19187,19235,19371
11,4,15,878,7056,7151,7216,7243,7324,7439,7504,7583,7641,7717,7816,7903,7935,8038,8048,8308,8466,8644,8667,8667,8667,8594,8668,8732,8782,8828,8878,8872,8922,8977,9029,9100,9192,9231,9285,9326,9381,9460,9615,9492,9614,9776,9941,10023,10130,10187,10267,10382,10452,10544,10649,10757,10836,11096,11217,11214,11214,11140,11210,11246,11304,11348,11412,11417,11502,11582,11640,11711,11748,11789,11850,11910,11952,11958,11927,11354,11354,11532,11778,12006,12096,12245,12365,12490,12602,12735,12839,12962,13116,13257,13257,13257,13136,13101,13244,13344,13477,13589,13589,12656,12843,12978,13072,13228,13353,13551,13737,13868,14039,14241,14341,14420,14546,14734,14734,14835,14906,14997,15105,15131,15358,15468,15558,15701,15885,16001,16004,16012,16012,15986,16106,16189,16309,16389,16474,15772,15947,16134,16308,16563,16699,16900,17042,17149,17257,17271,17328
15,5,2,58,5630,5964,6025,6153,6306,6417,6510,6630,6738,6853,7007,7084,7127,7309,7428,7723,7810,7960,7999,7999,7999,7956,7950,8034,8147,8260,8315,8394,8458,8531,8675,8801,8869,8960,9048,9115,9155,9142,9359,9359,9409,9582,9763,9765,9742,9586,9352,9644,9913,10021,10141,10212,10298,10440,10573,10579,10579,10490,10574,10723,10840,10948,11054,11089,11189,11292,11354,11477,11576,11661,11771,11879,11936,11991,12053,11795,11795,11905,12101,12312,12378,12472,12541,12670,12790,12866,12999,13188,13236,13520,13526,13526,13329,13293,13593,13657,13888,13982,13982,13372,13605,13749,13826,13922,14025,14113,14285,14420,14540,14656,14766,14903,14963,14929,14929,14907,14780,15182,15289,15349,15487,15555,15683,15594,15911,16019,16045,16046,16046,15951,16022,16070,16120,16160,16177,15211,15444,15694,15873,15976,16062,16200,16309,16408,16468,16426,16446
15,41,82,4241,1820,1877,1893,1909,1973,1990,2015,2067,2125,2226,2300,2386,2438,2515,2607,2657,2697,2770,2776,2776,2776,2760,2765,2793,2854,2897,2918,2921,3008,3074,3152,3230,3288,3380,4237,4342,4240,3918,3963,3963,4118,4341,4561,4558,4548,4482,4496,4990,5165,5379,5528,5649,5851,6059,6178,6181,6181,6123,6222,6593,6764,6898,6988,7057,7215,7354,7456,7581,7712,7850,7977,8097,8224,8378,8507,8678,8678,8955,9230,9463,9685,9903,10069,10269,10452,10678,10882,11060,11222,11420,11424,11424,11255,11337,11885,12141,12303,12439,12439,12420,12594,12681,12797,12889,13077,13191,13340,13558,13811,13944,14094,14207,14261,14193,14193,14160,14191,14464,14611,14795,15017,15174,15269,15391,15692,15792,15782,15784,15784,15730,15880,16026,16200,16335,16401,16249,16481,16659,16764,16971,17104,17252,17434,17584,17684,17690,17792
15,41,82,6262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1064,1098,1112,1074,1155,1155,1261,1357,1450,1453,1445,1392,1438,1614,1764,1892,2065,2181,2357,2470,2550,2557,2557,2527,2656,2868,3067,3175,3283,3406,3600,3786,3956,4107,4284,4509,4865,5110,5320,5569,5796,6054,6054,6433,6893,7231,7484,7802,8069,8317,8608,8908,9171,9383,9646,9824,9828,9828,9812,10002,10896,11394,11705,11911,11911,12105,12417,12687,12822,12989,13220,13422,13626,13868,14086,14256,14426,14546,14635,14567,14567,14535,14503,15003,15237,15400,15654,15832,15958,16049,16311,16431,16424,16427,16427,16397,16579,16739,16870,16965,17089,17147,17404,17568,17709,17816,17973,18117,18284,18410,18523,18479,18546
15,41,82,6290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1362,1529,1828,2512,3210,3210,3580,4090,4459,4471,4458,4315,4570,5396,5771,6058,6258,6435,6679,7097,7245,7255,7246,7177,7364,7668,7937,8093,8211,8283,8483,8660,8791,8950,9122,9248,9542,9740,9891,10036,10200,10441,10441,10777,11112,11322,11546,11702,11841,12011,12139,12331,12475,12686,12827,13015,13017,13017,12858,12894,13517,13796,13947,14051,14051,14116,14310,14485,14550,14656,14878,14985,15067,15229,15302,15350,15430,15496,15543,15468,15468,15421,15307,15704,15801,15851,16074,16149,16244,16284,16543,16654,16644,16645,16645,16545,16671,16747,16825,16898,16975,17014,17132,17250,17333,17392,17412,17521,17627,17673,17713,17630,17637
16,8,54,1192,7796,7712,7625,7753,7863,7957,8028,8117,8177,8309,8385,8482,8571,8366,8562,8978,9091,9259,9260,9259,9259,9181,9260,9270,9402,9497,9515,9658,9685,9721,9837,9896,9927,10054,10153,10168,10256,10366,10437,10437,10541,10655,10797,10934,11027,11178,11284,11281,11268,11261,10768,10961,11183,11312,11433,11427,11427,11353,11446,11520,11626,11757,11807,11850,11933,12078,12158,12262,12338,12427,12515,12606,12638,12688,12683,11952,11952,12080,12300,12528,12649,12782,12929,13029,13145,13201,13332,13478,13574,13690,13691,13691,13548,13552,13885,13977,14066,14141,14141,13145,13340,13458,13511,13626,13803,13996,14127,14261,14397,14517,14613,14665,14730,14930,14930,15060,15165,15256,15347,15446,15572,15634,15692,15693,15883,15948,15942,15945,15945,15948,16007,16133,16212,16271,16313,15620,15814,16025,16203,16332,16391,16532,16621,16709,16820,16777,16846
19,7,12,235,1000,1022,1036,1052,1070,1103,1139,1153,1157,1233,1293,1350,1401,1433,1449,1706,1799,1930,1945,1945,1945,1932,1945,2034,2066,2210,2328,2384,2498,2687,2756,2819,3069,3169,3244,3424,3484,3559,3808,3719,3772,3898,3966,4109,4190,4432,4515,4621,4771,4897,5029,5155,5288,5520,5596,5596,5595,5561,5590,5691,5825,5973,6068,6152,6274,6370,6509,6623,6731,6853,6974,7068,7184,7253,7343,7410,7410,7518,7660,7868,7979,8110,8291,8400,8536,8739,8893,9057,9252,9371,9372,9372,9316,9377,9591,9747,10009,10125,10125,10163,10334,10506,10601,10765,10981,11189,11342,11470,11658,11898,12127,12146,12317,12661,12661,12907,13113,13295,13513,13636,13805,14032,14147,14353,14690,14761,14778,14778,14778,14813,15118,15329,15540,15727,15881,15565,15759,16027,16360,16668,16840,17178,17403,17598,17858,17973,18112
19,12,32,844,6478,6592,6607,6590,6706,6811,6831,6875,6948,7029,7155,7315,7344,7401,7474,7641,7763,7874,7935,7935,7935,7907,7882,7922,8008,8111,8151,8136,8173,8243,8302,8339,8486,8571,8701,8778,8777,8768,8918,8788,8799,8769,9015,9213,9288,9437,9511,9598,9707,9741,9737,9851,9920,10196,10278,10322,10322,10286,10274,10382,10461,10547,10604,10601,10683,10817,10849,10912,11013,11097,11154,11227,11290,11372,11308,10965,10965,11138,11302,11468,11570,11702,11822,11926,12014,12146,12277,12413,12499,12634,12633,12633,12494,12486,12743,12845,12992,13072,13072,12433,12700,12805,12912,13053,13219,13403,13521,13628,13794,13926,14035,14102,14218,14442,14442,14598,14694,14791,14871,14855,14897,15141,15248,15396,15734,15877,15884,15884,15884,15835,16028,16146,16312,16415,16477,15826,16084,16310,16566,16762,16919,17092,17264,17381,17521,17565,17625
19,12,32,845,9092,9245,9360,9413,9457,9531,9551,9608,9662,9722,9797,9882,9926,10023,10092,10238,10323,10501,10575,10575,10576,10541,10533,10551,10628,10683,10735,10773,10794,10821,10868,10905,10924,10981,11032,11067,11105,11042,11128,10905,10945,10938,11133,11270,11316,11378,11442,11564,11653,11700,11772,11813,11876,11991,12147,12185,12185,12129,12126,12206,12281,12353,12391,12405,12496,12583,12594,12652,12694,12708,12784,12820,12882,12913,12845,12493,12493,12648,12769,12934,13023,13125,13208,13296,13337,13436,13534,13645,13698,13861,13866,13866,13666,13651,13822,13948,14051,14088,14088,12848,13154,13287,13422,13629,13792,14015,14136,14290,14438,14567,14684,14713,14839,15044,15044,15171,15265,15354,15434,15461,15539,15692,15802,15833,16112,16212,16216,16218,16218,16207,16313,16386,16452,16517,16585,15697,15927,16150,16344,16488,16576,16751,16866,16992,17080,17053,17113
19,12,42,1706,801,799,794,791,792,801,802,807,805,800,796,789,791,799,800,808,815,847,851,851,851,848,842,841,842,840,839,842,835,845,873,914,971,996,1040,1083,1131,1199,1232,1152,1224,1280,1383,1462,1558,1769,1885,2049,2191,2335,2498,2623,2827,2928,2971,2970,2970,2968,3134,3312,3513,3705,3820,4009,4207,4355,4544,4729,4955,5106,5272,5461,5719,5849,6018,6110,6110,6350,6539,6821,7034,7271,7487,7738,7963,8310,8722,9091,9853,10171,10185,10069,10061,10126,10396,10629,10921,11046,11046,11135,11353,11606,11788,12029,12189,12402,12543,12731,12954,13118,13332,13400,13578,13941,13941,14207,14373,14577,14703,14772,15021,15267,15461,15524,15811,15935,15940,15941,15941,15959,16117,16352,16553,16770,16916,16967,17141,17255,17452,17719,17880,18121,18318,18644,18933,18912,19075
21,11,115,1253,7726,7471,7637,7745,7830,7931,8035,8107,8167,8241,8389,8490,8518,8595,8706,8854,9017,9176,9234,9234,9234,9149,9224,9298,9362,9451,9499,9524,9568,9864,9869,9865,9861,9733,9819,9914,10013,10061,10162,10011,10082,10171,10282,10404,10468,10572,10736,10853,10921,11004,11136,11204,11290,11535,11721,11711,11711,11586,11658,11750,11873,11975,12029,12062,12190,12227,12398,12377,12391,12081,12375,12504,12628,12677,12707,12221,12221,12251,12570,12762,12845,13002,13095,13248,13365,13460,13500,13627,13746,13956,13954,13954,13730,13728,13964,14191,14248,14334,14334,14559,14765,14754,14744,14743,13774,14132,14314,14483,14634,14736,14814,14846,15002,15162,15162,15268,15338,15455,15506,15485,15689,15751,15877,15831,16107,16224,16245,16247,16247,16200,16262,16334,16429,16479,16470,16504,16742,16721,16697,16685,16098,16481,16641,16722,16798,16745,16776
23,1,8,875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469,487,553,658,801,841,841,840,951,1201,1386,1541,1649,1744,1895,1895,2074,2320,2507,2638,2851,3084,3343,3578,3847,4151,4507,4771,4924,4926,4926,4979,5126,5756,6314,6996,7382,7382,7793,7917,7910,7890,7873,7970,9027,9697,10292,10917,11474,11891,12284,12811,13765,13765,14306,14855,15339,15746,16187,16909,17431,17769,18339,19062,19206,19223,19226,19226,19496,20424,21219,21982,22618,23157,23694,23732,23630,23546,23444,24544,25877,26740,27479,28125,28439,28730
23,3,1,491,,,,,,,,,,,,382,447,503,604,726,809,874,881,881,881,876,946,1040,1115,1230,1316,1374,1552,1725,1727,1725,1725,1708,1862,1994,2135,2220,2462,2462,2627,2785,3012,3198,3336,3526,3711,3913,4137,4312,4520,4741,5030,5162,5225,5224,5224,5178,5318,5432,5606,5828,5967,6073,6217,6447,6531,6469,6455,6395,6757,6912,7091,7296,7429,7613,7613,7795,8158,8465,8700,8961,9179,9306,9528,9757,9968,10204,10406,10537,10541,10541,10462,10560,11115,11447,11884,12197,12197,12490,12604,12580,12560,12526,12537,12993,13351,13763,14160,14448,14693,14948,15208,15707,15707,15989,16170,16333,16508,16571,16902,17091,17243,17272,17678,17775,17769,17771,17771,17794,18015,18194,18443,18592,18749,19001,19135,19081,19033,18981,18872,19573,20013,20265,20491,20510,20641
23,4,1,578,,,,,,,,,,,,233,224,217,220,222,226,236,237,237,237,231,233,244,261,295,332,356,418,507,514,514,514,507,627,817,971,1093,1366,1366,1578,1820,2116,2370,2599,2949,3208,3505,3896,4117,4426,4797,5273,5555,5671,5671,5671,5622,5949,6278,6697,7099,7466,7832,8263,8763,8869,8835,8825,8807,9698,10162,10622,11024,11313,11892,11892,12333,13178,13878,14489,15096,15663,16096,16614,17143,17641,18161,18707,19008,19007,19007,18989,19265,20434,21187,22134,22819,22819,23588,23821,23789,23746,23693,23752,24975,25895,26883,26965,27824,28562,29380,30179,31907,31907,32908,33668,34478,35093,35494,36796,37743,38527,39057,40583,40829,40865,40866,40866,41188,42159,43070,44142,45212,45984,46665,47002,46901,46733,46560,47273,49609,51183,52420,53457,53725,54343
26,6,59,808,4449,4525,4571,4614,4734,4856,4935,5039,5104,5213,5292,5386,5463,5578,5629,5788,5867,5948,5950,5950,5950,5919,5966,6017,6071,6134,6194,6190,6277,6374,6439,6540,6630,6710,6782,6851,6918,7009,7100,6956,7041,7264,7449,7573,7694,7799,7936,8021,8087,8176,8266,8417,8545,8674,8773,8765,8765,8736,8813,8917,9049,9166,9248,9289,9446,9532,9589,9721,9847,9919,10045,10103,10196,10236,10331,10132,10132,10385,10607,10813,10963,11095,11226,11354,11498,11666,11820,11965,12015,12237,12239,12240,12119,12142,12434,12552,12840,12984,12984,12321,12587,12773,12883,13111,13292,13456,13597,13773,13926,14094,14311,14392,14520,14835,14835,14993,15132,15275,15377,15517,15724,15858,15924,16030,16216,16312,16322,16323,16323,16311,16482,16562,16680,16825,16907,16335,16540,16703,16898,17137,17241,17461,17649,17781,17882,17917,18014
27,5,13,983,1831,1841,1846,1900,1965,2046,2203,2284,2320,2428,2525,2614,2670,2753,2863,2998,3065,3127,3148,3147,3147,3120,3258,3298,3268,3357,3438,3475,3589,3689,3758,3815,3894,3978,4065,4153,4233,4311,4438,4387,4485,4636,4780,4885,5169,5359,5449,5556,5714,5831,5957,6128,6337,6459,6531,6533,6533,6478,6568,6782,6919,7069,7153,7239,7355,7541,7790,7869,8058,8159,8273,8399,8561,8667,8785,8781,8781,8950,9286,9442,9569,9697,9970,10106,10236,10392,10505,10825,10908,11104,11104,11104,11084,11104,11446,11635,11777,11896,11896,11816,12107,12290,12359,12467,12748,12968,13112,13223,13384,13457,13680,13734,13931,14229,14229,14447,14529,14710,14894,14952,15079,15149,15254,15309,15510,15672,15670,15671,15671,15664,15811,15879,15958,16014,16067,15789,16028,16211,16502,16629,16671,16956,17034,17118,17152,17235,17303
28,4,22,627,7756,7576,7570,7684,7839,8007,8137,8261,8345,8480,8560,8668,8711,8835,8887,9123,9260,9405,9417,9417,9417,9364,9383,9441,9472,9579,9641,9618,9668,9913,9914,9909,9905,9795,9895,9968,10038,10072,10205,9982,10069,10200,10342,10483,10629,10736,10850,10957,11048,11117,11210,11342,11475,11690,11811,11803,11803,11738,11780,11866,11923,12008,12135,12134,12238,12430,12547,12535,12520,12179,12503,12622,12648,12750,12747,11800,11800,12033,12289,12461,12594,12722,12873,13019,13105,13229,13336,13485,13630,13737,13741,13741,13535,13655,14001,14095,14202,14311,14311,14493,14639,14632,14616,14603,13723,14028,14242,14440,14644,14753,14885,14908,15025,15259,15259,15376,15466,15566,15656,15740,15892,16008,16118,15969,16385,16479,16487,16487,16487,16475,16643,16767,16886,16949,17049,17121,17255,17246,17234,17220,16556,17107,17352,17538,17731,17749,17857
28,9,32,1126,156,151,149,178,276,403,512,642,752,876,1012,1191,1356,1509,1655,1862,2133,2234,2240,2240,2240,2226,2345,2533,2823,3067,3263,3410,3680,3919,3920,3919,3915,3874,4173,4459,4671,4782,5357,5334,5583,5799,6134,6383,6616,6870,7122,7391,7662,7879,8113,8349,8517,8859,8949,8954,8954,8901,9068,9208,9452,9661,9856,9967,10233,10568,10718,10695,10698,10504,10916,11259,11491,11685,11763,11944,11944,12092,12306,12568,12761,12994,13241,13488,13661,13872,14067,14265,14437,14613,14608,14608,14489,14509,14982,15316,15532,15764,15764,15934,16011,16001,15980,15966,15983,16254,16415,16643,16794,16936,17085,17146,17330,17631,17631,17799,17892,18027,18102,18275,18389,18508,18602,18521,18885,18954,18952,18953,18953,18928,19037,19132,19229,19341,19475,19578,19615,19558,19520,19480,19317,19640,19811,19887,20005,20027,20089
